SNo,Class Name,GPT3 discription
1,tying knot (not on a tie),"

Tying a knot is an action performed by humans to secure a rope or cord by looping and interweaving the rope or cord around itself. It is done by first forming a loop of the rope or cord and then passing the free end of the rope or cord through the loop and"
2,swinging baseball bat,"

Swinging a baseball bat is an action performed by a human involving a rotational motion of the arms and torso to propel the bat forward in an arc towards an intended target. The motion of the arms and torso involves a combination of pushing, pulling, and rotating the arms and torso to"
3,playing ocarina,"

Playing the ocarina is an action performed by humans that involves blowing into a small, egg-shaped instrument with finger holes. The ocarina produces a sweet, flute-like sound that can range from a low, mellow tone to a high, cheerful melody. Playing the"
4,waiting in line,"

Waiting in line is an action performed by humans when they are queued up to receive a service or product. It can involve standing in a single line or several lines, depending on the situation. It is a way of organizing people in an orderly fashion so that everyone can be served in"
5,land sailing,"

Land sailing is an action sport performed by humans using a land sailing vehicle, or ""sand yacht"", which is propelled by wind power. The vehicle is usually a three-wheeled cart with a sail attached to a mast, and is steered by a rudder. The sail is usually made"
6,snowboarding,"

Snowboarding is an action sport that involves riding a snowboard down a slope while performing various tricks and maneuvers. It is a thrilling and exciting activity that requires skill, balance, and coordination. Snowboarders use their feet and body to control the board and navigate the terrain. Snowboarding is"
7,disc golfing,"

Disc golf is a sport in which players throw a flying disc, or Frisbee, into a target, such as a metal basket or pole. It is similar to traditional golf, but instead of hitting a ball with a club into a hole, the player throws a disc into the target"
8,cleaning toilet,"

Cleaning a toilet is an action performed by humans to remove dirt, debris, and bacteria from the toilet bowl and surrounding surfaces. It typically involves scrubbing the bowl and seat with a toilet brush and cleaning agent, and then flushing the toilet to rinse away the dirt and debris. Some"
9,eating doughnuts,"

Eating doughnuts is an action performed by humans that involves taking a bite of the doughnut, savoring the sweet flavor, and then swallowing the doughnut. The action can be repeated until the doughnut is gone."
10,poking bellybutton,"

Poking bellybutton is an action performed by humans, usually as a form of self-expression or play. It involves pressing a finger or other object into the navel region of the body. This action is often done in a playful manner and can be used to express emotions such as curiosity"
