SNo,Class Name,GPT3 discription
1,abseiling,"

Abseiling is an action performed by humans in which they descend a steep surface, such as a rock face or a cliff, by using a rope. The person abseiling will be secured to the rope with a harness and will use a controlled technique to safely descend the surface. This"
2,air drumming,"

Air drumming is an action performed by a human in which they mimic drumming on a drum set using only their hands. This is usually done in time with music, either to a song or to an improvised beat. Air drumming is often used to express emotion, or to simply have"
3,answering questions,"

Answering questions is an action performed by humans when they are asked a question and provide a response. This can be done verbally, in writing, or through body language. Answering questions is a way for humans to communicate and share information with each other."
4,applauding,"

Applauding is an action performed by humans to show approval, admiration, or appreciation for someone or something. It is typically done by clapping one's hands together, but can also include other forms of physical expression, such as stomping one's feet or raising one's arms in"
5,applying cream,"

Applying cream is an action performed by humans to moisturize, protect, and nourish the skin. This action typically involves taking a small amount of cream, warming it between the fingertips, and then gently massaging it into the skin in circular motions. Applying cream can help to reduce"
6,archery,"

Archery is a sport that involves shooting arrows with a bow at a target. It requires skill, focus, and precision to be successful. It is a physical activity that requires strength and agility, as well as a mental challenge. Archery is a sport that can be enjoyed by people of"
7,arm wrestling,"

Arm wrestling is a physical competition between two people, in which each person places one arm on a surface with their elbows bent and touching the surface, and they grip each other's hand. The goal is to pin the other's arm onto the surface, with the winner being the person who is"
8,arranging flowers,"

Arranging flowers is an art form that requires creativity, skill, and patience. It involves selecting and combining flowers, foliage, and other decorative elements to create a visually appealing and balanced design. It can be done for a variety of occasions, such as weddings, anniversaries, and special"
9,assembling computer,"

Assembling a computer is a complex process that involves combining multiple components in order to create a functioning computer system. It involves connecting the components together, such as the motherboard, CPU, RAM, storage, power supply, and other peripherals. Additionally, it involves installing the operating system and"
10,auctioning,"

Auctioning is a process of buying and selling goods or services by offering them up for bid, taking bids, and then selling the item to the highest bidder. It is a common method of selling goods, services, and assets in a competitive and open market. The process of auctioning"
11,baby waking up,"

When a baby wakes up, it is usually accompanied by a loud cry or cooing sound. The action of waking up a baby usually involves gently shaking their body, rubbing their back, or speaking softly to them."
12,baking cookies,"

Baking cookies is an action performed by humans that involves combining ingredients such as butter, sugar, eggs, and flour to create a sweet treat. The mixture is then scooped onto a baking sheet and baked in an oven until golden brown. After baking, the cookies can be enjoyed either warm"
13,balloon blowing,"

Balloon blowing is an action performed by humans in which air is blown into a latex balloon, causing it to expand and take shape. This activity is often used as a form of entertainment and can be used to create decorations for special occasions. Blowing up balloons requires the use of breath and"
14,bandaging,"

Bandaging is a medical practice of wrapping a body part or wound with a bandage to provide support, stop bleeding, and protect the wound from infection. Bandaging is usually done with sterile gauze, adhesive bandages, or medical tape. It is a crucial part of the healing process"
15,barbequing,"

Barbequing is an outdoor cooking method that involves grilling food over an open flame or hot coals. It is a popular way to cook food in many cultures, and is often used to entertain large groups of people. Barbequing is a great way to bring people together"
16,bartending,"

Bartending is an action performed by a human, typically in a bar or restaurant, where alcoholic and non-alcoholic beverages are prepared and served to customers. It requires knowledge of a wide variety of drinks, including the ingredients and how to mix them, as well as the ability to"
17,beatboxing,"

Beatboxing is an art form in which a person creates percussive sounds using their mouth, lips, tongue, and voice. It is a form of vocal percussion that is used to imitate drum machines, percussion instruments, and other sounds. Beatboxing is often used in hip-hop"
18,bee keeping,"

Beekeeping is an activity performed by humans in which they tend to a colony of bees in a man-made structure called a bee hive for the purpose of collecting honey, beeswax, and other bee products. Beekeepers use a variety of tools and techniques to manage the hive, including"
19,belly dancing,"

Belly dancing is an expressive and sensual form of dance that is performed by humans. It is a combination of intricate and graceful body movements that are often accompanied by music. Belly dancing is often used to express emotions, tell stories, and celebrate special occasions. It is a form of"
