SNo,Class Name,GPT3 discription
1,Approaching something with your camera,"

Approaching something with a camera is an action performed by a human when they want to take a photograph of something. This action involves moving the camera closer to the subject in order to capture a better quality image. It may also involve adjusting the camera settings to make sure the image is properly"
2,Attaching something to something,"

Attaching something to something is a physical action performed by humans, usually involving the use of tools or other objects. It involves the use of force to hold two objects together, such as nails, screws, bolts, staples, glue, or tape. It can also involve the use of ad"
3,Bending something so that it deforms,"

Bending is the process of applying a force to an object such that it deforms in a specific direction. This action is typically performed by humans, often using their hands, but can also be done with tools such as pliers and hammers. Bending can be used to create a"
4,Bending something until it breaks,"

Bending something until it breaks is an action performed by humans in which an object is manipulated to the point of breaking, usually due to the application of force. This action is often done deliberately to test the strength and durability of an object."
5,Burying something in something,"

Burying something in something is an action performed by humans in which a physical object is placed in the ground or another substance, such as concrete, for safekeeping. This is often done to protect valuable items from theft or damage, or to mark a special occasion or event."
6,Closing something,"

Closing something is an action performed by a human where an object, such as a door, window, or lid, is moved from an open position to a closed position. This action can be done manually, such as by pushing or pulling, or it can be done automatically, such as"
7,Covering something with something,"

Covering something with something is an action performed by humans in order to protect, conceal, or insulate an object from the elements or from damage. It could involve wrapping, taping, or painting an object, or placing a cloth, paper, or plastic sheet over it. Covering"
8,Digging something out of something,"

Digging something out of something is an action performed by humans that involves using tools to remove something from a surface or material. This action can be used to uncover buried objects, excavate materials, or break apart a surface. It can also be used to create a hole or tunnel in a"
9,Dropping something behind something,"

Dropping something behind something is an action performed by humans when they want to discard an item or object. It usually involves throwing the item behind something, such as a wall, a chair, or a desk. This action is often done when people want to get rid of something quickly or when"
10,Dropping something in front of something,"

Dropping something in front of something is an action performed by humans when they want to discard an item or object. This action usually involves the person releasing the object from their hand and allowing it to fall to the ground or in front of another object. The action is often used when people are"
11,Dropping something into something,"

Dropping something into something is an action performed by a human where an object is released from their hand and allowed to fall into another object or container. This action can be used to place items into a container, such as dropping coins into a piggy bank, or to dispose of items,"
12,Dropping something next to something,"

Dropping something next to something is an action typically performed by humans when they want to place an object close to another object. This action can be done intentionally or unintentionally, and it can happen in a variety of scenarios. For example, a person might drop a pen next to a notebook to"
13,Dropping something onto something,"

Dropping something onto something is an action performed by a human where an object is released from a higher position and allowed to fall freely onto a lower position. This action can be intentional or unintentional, and the result of the action depends on the object being dropped and the surface it is being dropped"
14,Failing to put something into something because something does not fit,"

Failing to insert something into something else because it does not fit is a common action performed by humans. This can be seen when trying to fit a round peg into a square hole or when trying to fit a large item into a small space. It can also be seen when trying to fit"
15,Folding something,"

Folding is the process of taking a large piece of material, such as cloth or paper, and making it smaller by pressing and creasing it into a smaller shape. It is a common activity performed by people in everyday life, such as folding clothes or folding paper into shapes."
16,Hitting something with something,"

Hitting something with something is a physical action performed by humans, usually involving two objects. It usually involves striking one object with another, such as hitting a ball with a bat or hammering a nail with a hammer. In some cases, the action may involve striking one object with another object"
17,Holding something,"

Holding something is an action performed by humans when they grasp an object with their hands or arms. It can be done for a variety of reasons, such as to carry an object, support it, or to keep it steady. It is a fundamental skill that is important for everyday life."
