id,name
0,swinging baseball bat
1,playing ocarina
2,land sailing
3,poking bellybutton
4,doing jigsaw puzzle
5,battle rope training
6,opening wine bottle
7,throwing water balloon
8,changing wheel (not on bike)
9,fencing (sport)
10,scrapbooking
11,tagging graffiti
12,jumping jacks
13,bottling
14,capsizing
15,playing lute
16,cracking back
17,embroidering
18,rope pushdown
19,wading through water
20,playing field hockey
21,sausage making
22,licking
23,watching tv
24,pouring beer
25,historical reenactment
26,building lego
27,shucking oysters
28,using inhaler
29,playing darts
30,clam digging
31,raising eyebrows
32,wading through mud
33,tiptoeing
34,photobombing
35,laying concrete
36,dyeing hair
37,fly tying
38,playing dominoes
39,getting a piercing
40,polishing metal
41,flint knapping
42,playing rubiks cube
43,lock picking
44,using a wrench
45,ironing hair
46,throwing snowballs
47,casting fishing line
48,shuffling feet
49,falling off chair
50,home roasting coffee
51,chopping meat
52,sawing wood
53,smelling feet
54,roasting pig
55,using circular saw
56,bathing dog
57,blowing bubble gum
58,cutting orange
59,using a power drill
60,using a microscope
61,dyeing eyebrows
62,playing hand clapping games
63,roasting marshmallows
64,jumping bicycle
65,pillow fight
66,square dancing
67,wood burning (art)
68,staring
69,steer roping
70,carving ice
71,putting on foundation
72,cracking knuckles
73,pushing wheelbarrow
74,threading needle
75,trimming shrubs
76,leatherworking
77,changing gear in car
78,sword swallowing
79,jaywalking
80,blowdrying hair
81,inflating balloons
82,dumpster diving
83,opening door
84,mosh pit dancing
85,winking
86,using puppets
87,throwing ball (not baseball or American football)
88,falling off bike
89,head stand
90,needle felting
91,preparing salad
92,scrubbing face
93,breathing fire
94,sleeping
95,smoking pipe
96,weaving fabric
97,alligator wrestling
98,playing ping pong
99,skipping stone
100,delivering mail
101,separating eggs
102,bodysurfing
103,playing polo
104,rolling pastry
105,hugging (not baby)
106,longboarding
107,tackling
108,packing
109,riding snow blower
110,sucking lolly
111,shining flashlight
112,card throwing
113,using atm
114,playing maracas
115,chopping vegetables
116,making paper aeroplanes
117,opening bottle (not wine)
118,bull fighting
119,lawn mower racing
120,mountain climber (exercise)
121,tie dying
122,geocaching
123,visiting the zoo
124,coloring in
125,playing scrabble
126,drooling
127,assembling bicycle
128,playing blackjack
129,cooking scallops
130,building sandcastle
131,tasting wine
132,twiddling fingers
133,tying shoe laces
134,playing netball
135,ice swimming
136,shopping
137,opening refrigerator
138,swimming front crawl
139,photocopying
140,talking on cell phone
141,repairing puncture
142,spelunking
143,making horseshoes
144,laying stone
145,putting on mascara
146,planing wood
147,pinching
148,person collecting garbage
149,putting on lipstick
150,playing pan pipes
151,burping
152,luge
153,cutting apple
154,tightrope walking
155,docking boat
156,base jumping
157,using a paint roller
158,karaoke
159,shaping bread dough
160,fidgeting
161,putting on shoes
162,gold panning
163,bouncing on bouncy castle
164,cosplaying
165,crossing eyes
166,breaking boards
167,making balloon shapes
168,gospel singing in church
169,tying necktie
170,laying tiles
171,adjusting glasses
172,chiseling stone
173,attending conference
174,backflip (human)
175,making cheese
176,fixing bicycle
177,making bubbles
178,throwing tantrum
179,curling (sport)
180,playing gong
181,passing american football (not in game)
182,using a sledge hammer
183,throwing knife
184,passing soccer ball
185,pirouetting
186,playing pinball
187,sipping cup
188,putting in contact lenses
189,arguing
190,making the bed
191,putting on eyeliner
192,walking through snow
193,installing carpet
194,directing traffic
195,lighting fire
196,playing marbles
197,calligraphy
198,playing with trains
199,mushroom foraging
200,bulldozing
201,lifting hat
202,card stacking
203,chiseling wood
204,looking at phone
205,skiing mono
206,cumbia
207,waving hand
208,sewing
209,hand washing clothes
210,standing on hands
211,putting on sari
212,vacuuming floor
213,archaeological excavation
214,playing laser tag
215,chewing gum
216,moon walking
217,playing beer pong
218,combing hair
219,yarn spinning
220,acting in play
221,hugging baby
222,cooking sausages (not on barbeque)
223,calculating
224,using bagging machine
225,marriage proposal
226,huddling
227,waking up
228,popping balloons
229,massaging neck
230,smashing
231,contorting
